Service,CostCentre,Spend Type,Amount
Museums & Arts,Piece Hall,Depreciation Charges and Revenue contribution to Capital,997780.0
Museums & Arts,Arts Grants,Supplies and Services,15780.0
Museums & Arts,Victoria Theatre Bars & Catering,Employee Costs,990.0
Museums & Arts,Victoria Theatre Bars & Catering,Employee Costs,37940.0
Museums & Arts,Victoria Theatre Bars & Catering,Premise Related,140.0
Museums & Arts,Victoria Theatre Bars & Catering,Supplies and Services,35920.0
Museums & Arts,Victoria Theatre Overhead Account,Employee Costs,42060.0
Museums & Arts,Victoria Theatre Overhead Account,Employee Costs,438441.0
Museums & Arts,Victoria Theatre Overhead Account,Premise Related,80060.0
Museums & Arts,Victoria Theatre Overhead Account,Transport Related,440.0
Museums & Arts,Victoria Theatre Overhead Account,Supplies and Services,342327.0
Museums & Arts,Victoria Theatre Overhead Account,Support Service Recharges Expenditure,281070.0
Museums & Arts,Victoria Theatre Overhead Account,Depreciation Charges and Revenue contribution to Capital,109980.0
Museums & Arts,Victoria Theatre Production Accounts,Employee Costs,3790.0
Museums & Arts,Victoria Theatre Production Accounts,Employee Costs,82360.0
Museums & Arts,Victoria Theatre Production Accounts,Supplies and Services,139800.0
Museums & Arts,Museums Central,Employee Costs,10520.0
Museums & Arts,Museums Central,Employee Costs,48264.0
Museums & Arts,Museums Central,Transport Related,270.0
Museums & Arts,Museums Central,Supplies and Services,32075.0
Museums & Arts,Museums Central,Support Service Recharges Expenditure,295170.0
Museums & Arts,Bankfield Museum,Employee Costs,12670.0
Museums & Arts,Bankfield Museum,Employee Costs,99430.0
Museums & Arts,Bankfield Museum,Premise Related,38470.0
Museums & Arts,Bankfield Museum,Supplies and Services,7140.0
Museums & Arts,Bankfield Museum,Depreciation Charges and Revenue contribution to Capital,66080.0
Museums & Arts,Industrial Museum,Depreciation Charges and Revenue contribution to Capital,35950.0
Museums & Arts,Shibden Hall,Employee Costs,12200.0
Museums & Arts,Shibden Hall,Employee Costs,97310.0
Museums & Arts,Shibden Hall,Premise Related,36730.0
Museums & Arts,Shibden Hall,Supplies and Services,4450.0
Museums & Arts,Shibden Hall,Depreciation Charges and Revenue contribution to Capital,31280.0
Museums & Arts,Heptonstall Museum,Employee Costs,1280.0
Museums & Arts,Heptonstall Museum,Premise Related,5325.0
Museums & Arts,Heptonstall Museum,Depreciation Charges and Revenue contribution to Capital,4220.0
Museums & Arts,The Keep,Premise Related,3590.0
Museums & Arts,The Keep,Depreciation Charges and Revenue contribution to Capital,1470.0
Museums & Arts,Museums Education,Employee Costs,8570.0
Museums & Arts,Museums Education,Employee Costs,42435.0
Museums & Arts,Museums Education,Transport Related,850.0
Museums & Arts,Museums Education,Supplies and Services,5480.0
Museums & Arts,Collections Management,Employee Costs,16600.0
Museums & Arts,Collections Management,Employee Costs,110850.0
Museums & Arts,Collections Management,Transport Related,630.0
Museums & Arts,Collections Management,Supplies and Services,5030.0
Museums & Arts,Arts Development,Employee Costs,5400.0
Museums & Arts,Arts Development,Employee Costs,107320.0
Museums & Arts,Arts Development,Supplies and Services,290.0
Museums & Arts,Exhibitions and Events,Transport Related,960.0
Museums & Arts,Exhibitions and Events,Supplies and Services,7250.0
Museums & Arts,Clay House Main Hall,Premise Related,6640.0
Markets,Administration & General Holding A/C,Employee Costs,47950.0
Markets,Administration & General Holding A/C,Employee Costs,417470.0
Markets,Administration & General Holding A/C,Premise Related,13810.0
Markets,Administration & General Holding A/C,Transport Related,3480.0
Markets,Administration & General Holding A/C,Supplies and Services,8620.0
Markets,Administration & General Holding A/C,Support Service Recharges Expenditure,322020.0
Markets,Administration & General Holding A/C,Depreciation Charges and Revenue contribution to Capital,14610.0
Markets,Borough Market Hall-Halifax,Premise Related,72940.0
Markets,Borough Market Hall-Halifax,Premise Related,25860.0
Markets,Borough Market Hall-Halifax,Supplies and Services,34460.0
Markets,Borough Market Hall-Halifax,Depreciation Charges and Revenue contribution to Capital,61810.0
Markets,Market Hall-Todmorden,Premise Related,41770.0
Markets,Market Hall-Todmorden,Premise Related,8050.0
Markets,Market Hall-Todmorden,Supplies and Services,2210.0
Markets,Market Hall-Todmorden,Depreciation Charges and Revenue contribution to Capital,39950.0
Markets,Open Market-Todmorden,Premise Related,8000.0
Markets,Open Market-Todmorden,Premise Related,3670.0
Markets,Open Market-Todmorden,Transport Related,50.0
Markets,Open Market-Todmorden,Supplies and Services,60.0
Markets,Open Market-Sowerby Bridge,Premise Related,20910.0
Markets,Open Market-Sowerby Bridge,Transport Related,20.0
Markets,Open Market-Sowerby Bridge,Supplies and Services,1220.0
Markets,Open Market-Elland,Premise Related,2920.0
Markets,Open Market-Elland,Transport Related,20.0
Markets,Open Market-Elland,Supplies and Services,10.0
Markets,Open Market-Hebden Bridge,Employee Costs,10760.0
Markets,Open Market-Hebden Bridge,Premise Related,10220.0
Markets,Open Market-Hebden Bridge,Premise Related,2530.0
Markets,Open Market-Hebden Bridge,Transport Related,270.0
Markets,Open Market-Hebden Bridge,Supplies and Services,100.0
Markets,Open Market - Brighouse,Premise Related,1000.0
Markets,Town Shops & Properties-Halifax,Supplies and Services,570.0
Markets,Halifax Car Boot Sale,Employee Costs,320.0
Markets,Halifax Car Boot Sale,Employee Costs,2260.0
Markets,Halifax Car Boot Sale,Premise Related,16130.0
Markets,Halifax Car Boot Sale,Transport Related,70.0
Markets,Halifax Car Boot Sale,Supplies and Services,12780.0
Markets,Brighouse Car Boot Sale,Employee Costs,10.0
Markets,Brighouse Car Boot Sale,Employee Costs,12000.0
Markets,Brighouse Car Boot Sale,Supplies and Services,490.0
Economy and Investment,"Assistant Director Economy, Housing & Investment",Supplies and Services,500.0
Economy and Investment,Business & Economy - General,Support Service Recharges Expenditure,63760.0
Economy and Investment,Delivering the Towns Investment Programme,Employee Costs,50000.0
Economy and Investment,Lowfields Development,Premise Related,14200.0
Economy and Investment,Policy and Voluntary Sector,Employee Costs,30630.0
Economy and Investment,Policy and Voluntary Sector,Employee Costs,177990.0
Economy and Investment,Policy and Voluntary Sector,Premise Related,41560.0
Economy and Investment,Policy and Voluntary Sector,Premise Related,50.0
Economy and Investment,Policy and Voluntary Sector,Transport Related,390.0
Economy and Investment,Policy and Voluntary Sector,Supplies and Services,1319763.0
Economy and Investment,Policy and Voluntary Sector,Support Service Recharges Expenditure,101610.0
Economy and Investment,Holiday Activites and Food Programme,Supplies and Services,832940.0
Economy and Investment,Tourism Administration,Employee Costs,18320.0
Economy and Investment,Tourism Administration,Employee Costs,106382.0
Economy and Investment,Tourism Administration,Transport Related,530.0
Economy and Investment,Tourism Administration,Supplies and Services,14390.0
Economy and Investment,Tourism Administration,Support Service Recharges Expenditure,33700.0
Economy and Investment,Halifax TIC,Employee Costs,2990.0
Economy and Investment,Halifax TIC,Employee Costs,45883.0
Economy and Investment,Halifax TIC,Premise Related,6540.0
Economy and Investment,Halifax TIC,Transport Related,170.0
Economy and Investment,Halifax TIC,Supplies and Services,23260.0
Economy and Investment,Halifax TIC,Support Service Recharges Expenditure,17930.0
Economy and Investment,Hebden Bridge TIC,Employee Costs,390.0
Economy and Investment,Hebden Bridge TIC,Employee Costs,34165.0
Economy and Investment,Hebden Bridge TIC,Premise Related,22265.0
Economy and Investment,Hebden Bridge TIC,Premise Related,710.0
Economy and Investment,Hebden Bridge TIC,Supplies and Services,26390.0
Economy and Investment,Hebden Bridge TIC,Support Service Recharges Expenditure,34730.0
Economy and Investment,Hebden Bridge TIC,Depreciation Charges and Revenue contribution to Capital,4740.0
Economy and Investment,Corporate Events,Employee Costs,5590.0
Economy and Investment,Corporate Events,Employee Costs,38280.0
Economy and Investment,Corporate Events,Transport Related,700.0
Economy and Investment,Corporate Events,Transport Related,720.0
Economy and Investment,Corporate Events,Supplies and Services,5290.0
Economy and Investment,Corporate Events,Support Service Recharges Expenditure,10070.0
Economy and Investment,Business Rates Pool - Inclusive Economy,Employee Costs,14310.0
Economy and Investment,Business Rates Pool - Inclusive Economy,Supplies and Services,656100.0
Economy and Investment,Inclusive Labour (Inspire Programme) - ESF,Employee Costs,128000.0
Economy and Investment,Council Wide Procurement,Employee Costs,22810.0
Economy and Investment,Council Wide Procurement,Employee Costs,159890.0
Economy and Investment,Council Wide Procurement,Transport Related,70.0
Economy and Investment,Council Wide Procurement,Supplies and Services,9060.0
Economy and Investment,Council Wide Procurement,Support Service Recharges Expenditure,17500.0
Economy and Investment,Works Better (ESF),Employee Costs,180.0
Economy and Investment,Works Better (ESF),Employee Costs,1260.0
Economy and Investment,Works Better (ESF),Support Service Recharges Expenditure,22850.0
Economy and Investment,Business & Economy Team,Employee Costs,39300.0
Economy and Investment,Business & Economy Team,Employee Costs,319173.0
Economy and Investment,Business & Economy Team,Employee Related,110.0
Economy and Investment,Business & Economy Team,Transport Related,3980.0
Economy and Investment,Business & Economy Team,Supplies and Services,203100.0
Economy and Investment,Business & Economy Team,Support Service Recharges Expenditure,123460.0
Economy and Investment,Regen - Property,Premise Related,500.0
Economy and Investment,Regen - Property,Depreciation Charges and Revenue contribution to Capital,8320.0
Economy and Investment,Regen - Grounds Maint,Premise Related,11745.0
Economy and Investment,Employment Hub,Employee Costs,20520.0
Economy and Investment,Employment Hub,Employee Costs,140200.0
Economy and Investment,ISCAL,Employee Costs,37610.0
Economy and Investment,ISCAL,Employee Costs,334946.0
Economy and Investment,ISCAL,Employee Related,760.0
Economy and Investment,ISCAL,Premise Related,124000.0
Economy and Investment,ISCAL,Premise Related,280.0
Economy and Investment,ISCAL,Transport Related,13840.0
Economy and Investment,ISCAL,Supplies and Services,176755.0
Economy and Investment,ISCAL,Support Service Recharges Expenditure,236700.0
Economy and Investment,ISCAL,Depreciation Charges and Revenue contribution to Capital,20750.0
Economy and Investment,L. & P. Commercial Properties,Premise Related,620.0
Economy and Investment,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,82450.0
Economy and Investment,CAL - Central / Management and Admin,Employee Costs,511809.0
Economy and Investment,CAL - Central / Management and Admin,Employee Related,10000.0
Economy and Investment,CAL - Central / Management and Admin,Premise Related,87150.0
Economy and Investment,CAL - Central / Management and Admin,Supplies and Services,389000.0
Economy and Investment,CAL - Central / Management and Admin,Internal Recharge Expenditure,45000.0
Economy and Investment,Calder Greening,Employee Costs,87000.0
Economy and Investment,Future High Streets Fund - Halifax (orig funding),Supplies and Services,33760.0
Economy and Investment,Future High Streets Fund - Halifax (orig funding),Internal Recharge Expenditure,12500.0
Economy and Investment,Future High Streets Fund - Elland (orig funding),Supplies and Services,49480.0
Economy and Investment,Future High Streets Fund - Elland (orig funding),Internal Recharge Expenditure,12500.0
Economy and Investment,Towns Fund - Todmorden,Supplies and Services,33890.0
Economy and Investment,Towns Fund - Todmorden,Internal Recharge Expenditure,12500.0
Economy and Investment,Towns Fund - Brighouse,Supplies and Services,179620.0
Economy and Investment,Towns Fund - Brighouse,Internal Recharge Expenditure,12500.0
Economy and Investment,Future High Streets Fund - Halifax (final approv),Supplies and Services,307643.0
Economy and Investment,Heritage Action Zone - Sowerby Bridge,Supplies and Services,1483470.0
Education,Funds allocated Primary,Supplies and Services,51400678.0
Education,Funds allocated Secondary,Supplies and Services,12602650.0
Education,Funds allocated Primary Special,Supplies and Services,4659348.0
Education,Funds allocated Secondary Special,Supplies and Services,4113152.0
Finance Service,Finance General,Supplies and Services,179460.0
Finance Service,Finance General,Support Service Recharges Expenditure,1249600.0
Finance Service,Chief and Deputy Chief Exec Support,Employee Costs,11600.0
Finance Service,Chief and Deputy Chief Exec Support,Employee Costs,71917.0
Finance Service,Chief and Deputy Chief Exec Support,Support Service Recharges Expenditure,8550.0
Finance Service,Risk Management,Employee Costs,3740.0
Finance Service,Risk Management,Employee Costs,27288.0
Finance Service,Risk Management,Supplies and Services,300.0
Finance Service,Central Team,Employee Costs,66400.0
Finance Service,Central Team,Employee Costs,421803.0
Finance Service,Central Team,Transport Related,20.0
Finance Service,Central Team,Supplies and Services,5990.0
Finance Service,Central Team,Support Service Recharges Expenditure,45340.0
Finance Service,Audit,Employee Costs,66260.0
Finance Service,Audit,Employee Costs,421253.0
Finance Service,Audit,Transport Related,670.0
Finance Service,Audit,Supplies and Services,3940.0
Finance Service,Audit,Support Service Recharges Expenditure,16020.0
Finance Service,Banking and Technical Advice,Employee Costs,14000.0
Finance Service,Banking and Technical Advice,Employee Costs,89236.0
Finance Service,Banking and Technical Advice,Premise Related,860.0
Finance Service,Banking and Technical Advice,Supplies and Services,112110.0
Finance Service,Banking and Technical Advice,Large Contract Areas,40890.0
Finance Service,Banking and Technical Advice,Support Service Recharges Expenditure,5040.0
Finance Service,Senior Management,Employee Costs,16210.0
Finance Service,Senior Management,Employee Costs,106994.0
Finance Service,Self Directed Supp/Individ Serv Funds Audits Team,Employee Costs,12200.0
Finance Service,Self Directed Supp/Individ Serv Funds Audits Team,Employee Costs,107679.0
Finance Service,Insurance,Employee Costs,20110.0
Finance Service,Insurance,Employee Costs,143310.0
Finance Service,Insurance,Transport Related,40.0
Finance Service,Insurance,Supplies and Services,450.0
Finance Service,Insurance,Support Service Recharges Expenditure,39810.0
Finance Service,Insurance,Internal Recharge Expenditure,6930.0
Finance Service,Local Management of Schools Team,Employee Costs,29500.0
Finance Service,Local Management of Schools Team,Employee Costs,187527.0
Finance Service,Local Management of Schools Team,Employee Related,160.0
Finance Service,Local Management of Schools Team,Transport Related,930.0
