Service,CostCentre,Spend Type,Amount
Community Safety & Support,Community Response,Employee Costs,958327
Community Safety & Support,Community Response,Employee Related,3500
Community Safety & Support,Community Response,Premise Related,1175
Community Safety & Support,Community Response,Transport Related,2100
Community Safety & Support,Community Response,Supplies and Services,426747
Community Safety & Support,Community Response,Support Service Recharges Expenditure,110830
Community Safety & Support,Community Response,Depreciation Charges and Revenue contribution to Capital,175790
Community Safety & Support,Community Response,Support Service Recharges Income,-1140400
Community Safety & Support,Community Response,"Grants, Contributions, Other Income ",-36000
Community Safety & Support,Commercial Health,Employee Costs,91300
Community Safety & Support,Commercial Health,Employee Costs,634762
Community Safety & Support,Commercial Health,Employee Related,1500
Community Safety & Support,Commercial Health,Transport Related,12000
Community Safety & Support,Commercial Health,Supplies and Services,237873
Community Safety & Support,Commercial Health,Support Service Recharges Expenditure,241930
Community Safety & Support,Commercial Health,Depreciation Charges and Revenue contribution to Capital,9180
Community Safety & Support,Commercial Health,"Grants, Contributions, Other Income ",-135670
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Employee Costs,18940
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Employee Costs,126666
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Supplies and Services,-47830
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Large Contract Areas,-18530
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Support Service Recharges Expenditure,591570
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Support Service Recharges Income,-670820
Community Safety & Support,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,-503873
Recreation & Support,Group Director & PA Support Costs,Employee Costs,26250
Recreation & Support,Group Director & PA Support Costs,Employee Costs,154814
Recreation & Support,Group Director & PA Support Costs,Transport Related,340
Recreation & Support,Group Director & PA Support Costs,Supplies and Services,13741
Recreation & Support,Group Director & PA Support Costs,Support Service Recharges Expenditure,68720
Recreation & Support,Group Director & PA Support Costs,Support Service Recharges Income,-263870
Recreation & Support,Cemeteries - Lister Lane,Employee Costs,29360
Recreation & Support,Cemeteries - Lister Lane,Employee Costs,194580
Recreation & Support,Cemeteries - Lister Lane,Employee Related,100
Recreation & Support,Cemeteries - Lister Lane,Premise Related,5850
Recreation & Support,Cemeteries - Lister Lane,Premise Related,3240
Recreation & Support,Cemeteries - Lister Lane,Transport Related,600
Recreation & Support,Cemeteries - Lister Lane,Supplies and Services,22220
Recreation & Support,Cemeteries - Lister Lane,Support Service Recharges Expenditure,187400
Recreation & Support,Cemeteries - Lister Lane,Depreciation Charges and Revenue contribution to Capital,18400
Recreation & Support,Cemeteries - Lister Lane,"Grants, Contributions, Other Income ",-330390
Recreation & Support,Park Wood Crematorium,Employee Costs,42310
Recreation & Support,Park Wood Crematorium,Employee Costs,261132
Recreation & Support,Park Wood Crematorium,Premise Related,140790
Recreation & Support,Park Wood Crematorium,Premise Related,2550
Recreation & Support,Park Wood Crematorium,Transport Related,790
Recreation & Support,Park Wood Crematorium,Supplies and Services,-113140
Recreation & Support,Park Wood Crematorium,Support Service Recharges Expenditure,230360
Recreation & Support,Park Wood Crematorium,Depreciation Charges and Revenue contribution to Capital,156420
Recreation & Support,Park Wood Crematorium,"Grants, Contributions, Other Income ",-1518850
Recreation & Support,Cemeteries - Health And Safety,Premise Related,39180
Recreation & Support,Cemeteries - Health And Safety,"Grants, Contributions, Other Income ",-10000
Recreation & Support,Spring Hall Mansions,Premise Related,50100
Recreation & Support,Spring Hall Mansions,Support Service Recharges Expenditure,24820
Recreation & Support,Spring Hall Mansions,Depreciation Charges and Revenue contribution to Capital,18280
Recreation & Support,Spring Hall Mansions,Support Service Recharges Income,-82230
Recreation & Support,Brighouse Cemetery,Premise Related,6170
Recreation & Support,Exley Cemetery,Premise Related,1800
Recreation & Support,Luddenden Cemetery,Premise Related,570
Recreation & Support,Sowerby Bridge Cemetery,Premise Related,2920
Recreation & Support,Stoney Royd Chapel,Premise Related,6390
Libraries Info & Tourism,Savings,Large Contract Areas,-2439
Libraries Info & Tourism,Business Support,Employee Costs,8640
Libraries Info & Tourism,Business Support,Employee Costs,28290
Libraries Info & Tourism,Business Support,Employee Related,1050
Libraries Info & Tourism,Business Support,Transport Related,130
Libraries Info & Tourism,Business Support,Transport Related,1930
Libraries Info & Tourism,Business Support,Supplies and Services,16940
Libraries Info & Tourism,Business Support,Support Service Recharges Expenditure,359950
Libraries Info & Tourism,Bibliographic Services,Employee Costs,22500
Libraries Info & Tourism,Bibliographic Services,Employee Costs,153940
Libraries Info & Tourism,Bibliographic Services,Employee Related,130
Libraries Info & Tourism,Bibliographic Services,Transport Related,590
Libraries Info & Tourism,Bibliographic Services,Supplies and Services,106350
Libraries Info & Tourism,Bibliographic Services,Support Service Recharges Expenditure,600910
Libraries Info & Tourism,Bibliographic Services,Depreciation Charges and Revenue contribution to Capital,6510
Libraries Info & Tourism,Libraries Income,"Grants, Contributions, Other Income ",-210570
Libraries Info & Tourism,Central Lending - Halifax,Employee Costs,44180
Libraries Info & Tourism,Central Lending - Halifax,Employee Costs,301900
Libraries Info & Tourism,Central Lending - Halifax,Premise Related,15810
Libraries Info & Tourism,Central Lending - Halifax,Transport Related,1510
Libraries Info & Tourism,Central Lending - Halifax,Supplies and Services,3040
Libraries Info & Tourism,Central Lending - Halifax,Depreciation Charges and Revenue contribution to Capital,141420
Libraries Info & Tourism,Area Services,Premise Related,40800
Libraries Info & Tourism,Area Services,Premise Related,16360
Libraries Info & Tourism,Area Services,Transport Related,100
Libraries Info & Tourism,Area Services,Supplies and Services,-1240
Libraries Info & Tourism,Area Services,Depreciation Charges and Revenue contribution to Capital,4480
Libraries Info & Tourism,Area Services,"Grants, Contributions, Other Income ",-9970
Libraries Info & Tourism,Childrens Services,Employee Costs,19390
Libraries Info & Tourism,Childrens Services,Employee Costs,130530
Libraries Info & Tourism,Childrens Services,Transport Related,320
Libraries Info & Tourism,Childrens Services,Supplies and Services,36220
Libraries Info & Tourism,Childrens Services,Large Contract Areas,-26560
Libraries Info & Tourism,Libraries Collections Stock,Supplies and Services,141240
Libraries Info & Tourism,Libraries Collections Stock,"Grants, Contributions, Other Income ",-27500
Libraries Info & Tourism,Information Services,Employee Costs,18880
Libraries Info & Tourism,Information Services,Employee Costs,134656
Libraries Info & Tourism,Information Services,Transport Related,70
Libraries Info & Tourism,Information Services,Supplies and Services,51450
Libraries Info & Tourism,Libraries Service (excluding Central),Employee Costs,99330
Libraries Info & Tourism,Libraries Service (excluding Central),Employee Costs,667136
Libraries Info & Tourism,Libraries Service (excluding Central),Transport Related,2790
Libraries Info & Tourism,Libraries Service (excluding Central),Depreciation Charges and Revenue contribution to Capital,185040
Libraries Info & Tourism,Schools Library Service,Employee Costs,5950
Libraries Info & Tourism,Schools Library Service,Employee Costs,40200
Libraries Info & Tourism,Schools Library Service,Transport Related,4030
Libraries Info & Tourism,Schools Library Service,Supplies and Services,13620
Libraries Info & Tourism,Schools Library Service,Large Contract Areas,-12500
Libraries Info & Tourism,Schools Library Service,"Grants, Contributions, Other Income ",-83570
Libraries Info & Tourism,Archives,"Grants, Contributions, Other Income ",-61500
Libraries Info & Tourism,Bailiff Bridge Library,Premise Related,2560
Libraries Info & Tourism,Beechwood Rd Library,Premise Related,7430
Libraries Info & Tourism,Brighouse Library,Premise Related,35045
Libraries Info & Tourism,Elland Library,Premise Related,14910
Libraries Info & Tourism,Greetland Library,Premise Related,1810
Libraries Info & Tourism,Hebden Library,Premise Related,22760
Libraries Info & Tourism,Hipperholme Library,Premise Related,5840
Libraries Info & Tourism,Halifax Central Library,Premise Related,183850
Libraries Info & Tourism,King Cross Library,Premise Related,41370
Libraries Info & Tourism,Mixenden Library,Premise Related,2780
Libraries Info & Tourism,Mytholmroyd Library,Premise Related,1270
Libraries Info & Tourism,Northowram Library,Premise Related,13040
Libraries Info & Tourism,Rastrick Library,Premise Related,9490
Libraries Info & Tourism,Rastrick Library Flat,Premise Related,1580
Libraries Info & Tourism,Ripponden Library,Premise Related,3950
Libraries Info & Tourism,Sowerby Bridge Library,Premise Related,11755
Libraries Info & Tourism,Shelf new library,Premise Related,3130
Libraries Info & Tourism,Skircoat Library,Premise Related,3500
Libraries Info & Tourism,Southowram library,Premise Related,1520
Libraries Info & Tourism,Stainland Library,Premise Related,1805
Libraries Info & Tourism,Todmorden library,Premise Related,17150
Libraries Info & Tourism,Walsden Library,Premise Related,700
Customer Services and Communications,Regn of BDM (prev on 8011),Employee Costs,20440
Customer Services and Communications,Regn of BDM (prev on 8011),Employee Costs,215239
Customer Services and Communications,Regn of BDM (prev on 8011),Employee Related,830
Customer Services and Communications,Regn of BDM (prev on 8011),Premise Related,2000
Customer Services and Communications,Regn of BDM (prev on 8011),Transport Related,2580
Customer Services and Communications,Regn of BDM (prev on 8011),Supplies and Services,47310
Customer Services and Communications,Regn of BDM (prev on 8011),Support Service Recharges Expenditure,171310
Customer Services and Communications,Regn of BDM (prev on 8011),"Grants, Contributions, Other Income ",-378730
Customer Services and Communications,Local Land Charges (prev on 8049),Support Service Recharges Expenditure,5330
Customer Services and Communications,Benefits,Employee Costs,104440
Customer Services and Communications,Benefits,Employee Costs,600441
Customer Services and Communications,Benefits,Transport Related,120
Customer Services and Communications,Benefits,Supplies and Services,346950
Customer Services and Communications,Benefits,Supplies and Services,60075
Customer Services and Communications,Benefits,Transfer Payments,39281170
Customer Services and Communications,Benefits,Support Service Recharges Expenditure,263920
Customer Services and Communications,Benefits,"Grants, Contributions, Other Income ",-39628140
Customer Services and Communications,Benefits,Support Service Recharges Income,-102330
Customer Services and Communications,Benefits,"Grants, Contributions, Other Income ",-19470
Customer Services and Communications,Local Welfare Provision,Employee Costs,22100
Customer Services and Communications,Local Welfare Provision,Premise Related,1000
Customer Services and Communications,Local Welfare Provision,Large Contract Areas,95000
Customer Services and Communications,Local Welfare Provision,Support Service Recharges Expenditure,27040
Customer Services and Communications,Fraud & Business Support,Employee Costs,41460
Customer Services and Communications,Fraud & Business Support,Employee Costs,174440
Customer Services and Communications,Fraud & Business Support,Transport Related,1500
Customer Services and Communications,Fraud & Business Support,Supplies and Services,1300
Customer Services and Communications,Head of Service Customer Services & Communications,Employee Costs,16770
Customer Services and Communications,Head of Service Customer Services & Communications,Employee Costs,112816
Customer Services and Communications,Head of Service Customer Services & Communications,Supplies and Services,1610
Customer Services and Communications,Head of Service Customer Services & Communications,Support Service Recharges Expenditure,346210
Customer Services and Communications,Head of Service Customer Services & Communications,Support Service Recharges Income,-477410
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Employee Costs,24930
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Employee Costs,153193
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Employee Related,150
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Transport Related,130
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Supplies and Services,36120
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Support Service Recharges Expenditure,171680
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Support Service Recharges Income,-367300
Customer Services and Communications,Customer First by Phone,Employee Costs,67890
Customer Services and Communications,Customer First by Phone,Employee Costs,496740
Customer Services and Communications,Customer First by Phone,Transport Related,100
Customer Services and Communications,Customer First by Phone,Supplies and Services,1330
Customer Services and Communications,Customer First by Phone,Support Service Recharges Expenditure,59060
Customer Services and Communications,Customer First by Phone,Support Service Recharges Income,-625120
Customer Services and Communications,Web Services,Employee Costs,19210
Customer Services and Communications,Web Services,Employee Costs,134509
Customer Services and Communications,Web Services,Supplies and Services,13590
Customer Services and Communications,Web Services,Support Service Recharges Income,-167310
Customer Services and Communications,Customer First - Halifax,Employee Costs,39580
Customer Services and Communications,Customer First - Halifax,Employee Costs,433239
Customer Services and Communications,Customer First - Halifax,Transport Related,660
Customer Services and Communications,Customer First - Halifax,Supplies and Services,50500
Customer Services and Communications,Customer First - Halifax,Support Service Recharges Expenditure,132330
Customer Services and Communications,Customer First - Halifax,Support Service Recharges Income,-611030
Customer Services and Communications,Customer First - Halifax,"Grants, Contributions, Other Income ",-45280
Customer Services and Communications,Sign Language,Employee Costs,10950
Customer Services and Communications,Sign Language,Employee Costs,64592
Customer Services and Communications,Sign Language,Employee Related,200
Customer Services and Communications,Sign Language,Premise Related,60
Customer Services and Communications,Sign Language,Transport Related,1640
Customer Services and Communications,Sign Language,Supplies and Services,19400
Customer Services and Communications,Sign Language,Support Service Recharges Income,-61750
Customer Services and Communications,Sign Language,"Grants, Contributions, Other Income ",-35090
Customer Services and Communications,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,-21865
Museums & Arts,Halls Administration,Employee Costs,9750
Museums & Arts,Halls Administration,Employee Costs,66645
Museums & Arts,Halls Administration,Employee Related,-70
Museums & Arts,Halls Administration,Supplies and Services,5640
Museums & Arts,Halls Administration,Large Contract Areas,-50800
Museums & Arts,Halls Administration,Support Service Recharges Expenditure,98750
Museums & Arts,Halls Administration,"Grants, Contributions, Other Income ",-11450
Museums & Arts,Todmorden Town Hall,Employee Costs,200
Museums & Arts,Todmorden Town Hall,Employee Costs,4160
Museums & Arts,Todmorden Town Hall,Premise Related,35345
Museums & Arts,Todmorden Town Hall,Supplies and Services,420
Museums & Arts,Todmorden Town Hall,Support Service Recharges Expenditure,31900
Museums & Arts,Todmorden Town Hall,Depreciation Charges and Revenue contribution to Capital,41120
Museums & Arts,Todmorden Town Hall,"Grants, Contributions, Other Income ",-24440
Museums & Arts,Halifax Town Hall,Employee Costs,-400
Museums & Arts,Civic Hall-Brighouse,Employee Costs,1920
Museums & Arts,Civic Hall-Brighouse,Premise Related,31980
Museums & Arts,Civic Hall-Brighouse,Premise Related,-120
Museums & Arts,Civic Hall-Brighouse,Supplies and Services,450
Museums & Arts,Civic Hall-Brighouse,Support Service Recharges Expenditure,28440
Museums & Arts,Civic Hall-Brighouse,Depreciation Charges and Revenue contribution to Capital,26220
Museums & Arts,Civic Hall-Brighouse,"Grants, Contributions, Other Income ",-35200
Museums & Arts,Village Hall-Shelf,Employee Costs,470
Museums & Arts,Village Hall-Shelf,Employee Costs,4600
Museums & Arts,Village Hall-Shelf,Premise Related,8660
Museums & Arts,Village Hall-Shelf,Support Service Recharges Expenditure,3940
Museums & Arts,Village Hall-Shelf,Depreciation Charges and Revenue contribution to Capital,21100
Museums & Arts,Village Hall-Shelf,"Grants, Contributions, Other Income ",-33450
Museums & Arts,Clay House,Employee Costs,50
Museums & Arts,Clay House,Employee Costs,2330
Museums & Arts,Clay House,Premise Related,4680
Museums & Arts,Clay House,Premise Related,-1240
Museums & Arts,Clay House,Depreciation Charges and Revenue contribution to Capital,7170
Museums & Arts,Clay House,"Grants, Contributions, Other Income ",-35640
Museums & Arts,Piece Hall,Supplies and Services,202000
Museums & Arts,Piece Hall,Support Service Recharges Expenditure,3360
Museums & Arts,Piece Hall,Depreciation Charges and Revenue contribution to Capital,997780
Museums & Arts,Arts Grants,Supplies and Services,15780
Museums & Arts,Victoria Theatre Bars & Catering,Employee Costs,990
Museums & Arts,Victoria Theatre Bars & Catering,Employee Costs,37940
Museums & Arts,Victoria Theatre Bars & Catering,Premise Related,140
Museums & Arts,Victoria Theatre Bars & Catering,Supplies and Services,35920
Museums & Arts,Victoria Theatre Bars & Catering,"Grants, Contributions, Other Income ",-134320
Museums & Arts,Victoria Theatre Overhead Account,Employee Costs,42060
Museums & Arts,Victoria Theatre Overhead Account,Employee Costs,438441
Museums & Arts,Victoria Theatre Overhead Account,Premise Related,80060
Museums & Arts,Victoria Theatre Overhead Account,Premise Related,-4660
Museums & Arts,Victoria Theatre Overhead Account,Transport Related,440
Museums & Arts,Victoria Theatre Overhead Account,Supplies and Services,342327
Museums & Arts,Victoria Theatre Overhead Account,Support Service Recharges Expenditure,281070
Museums & Arts,Victoria Theatre Overhead Account,Depreciation Charges and Revenue contribution to Capital,109980
Museums & Arts,Victoria Theatre Overhead Account,"Grants, Contributions, Other Income ",-271197
Museums & Arts,Victoria Theatre Production Accounts,Employee Costs,3790
Museums & Arts,Victoria Theatre Production Accounts,Employee Costs,82360
Museums & Arts,Victoria Theatre Production Accounts,Supplies and Services,139800
Museums & Arts,Victoria Theatre Production Accounts,"Grants, Contributions, Other Income ",-590699
Museums & Arts,Museums Central,Employee Costs,10520
Museums & Arts,Museums Central,Employee Costs,48264
Museums & Arts,Museums Central,Transport Related,270
Museums & Arts,Museums Central,Supplies and Services,32075
Museums & Arts,Museums Central,Support Service Recharges Expenditure,295170
Museums & Arts,Museums Central,"Grants, Contributions, Other Income ",-30000
Museums & Arts,Bankfield Museum,Employee Costs,12670
Museums & Arts,Bankfield Museum,Employee Costs,99430
Museums & Arts,Bankfield Museum,Premise Related,38470
Museums & Arts,Bankfield Museum,Supplies and Services,7140
Museums & Arts,Bankfield Museum,Depreciation Charges and Revenue contribution to Capital,66080
Museums & Arts,Bankfield Museum,"Grants, Contributions, Other Income ",-26420
Museums & Arts,Industrial Museum,Depreciation Charges and Revenue contribution to Capital,35950
Museums & Arts,Shibden Hall,Employee Costs,12200
Museums & Arts,Shibden Hall,Employee Costs,97310
Museums & Arts,Shibden Hall,Premise Related,36730
Museums & Arts,Shibden Hall,Supplies and Services,4450
Museums & Arts,Shibden Hall,Depreciation Charges and Revenue contribution to Capital,31280
Museums & Arts,Shibden Hall,"Grants, Contributions, Other Income ",-59310
Museums & Arts,Heptonstall Museum,Employee Costs,1280
Museums & Arts,Heptonstall Museum,Employee Costs,-6770
Museums & Arts,Heptonstall Museum,Premise Related,5325
Museums & Arts,Heptonstall Museum,Depreciation Charges and Revenue contribution to Capital,4220
Museums & Arts,Heptonstall Museum,"Grants, Contributions, Other Income ",-620
Museums & Arts,The Keep,Premise Related,3590
Museums & Arts,The Keep,Depreciation Charges and Revenue contribution to Capital,1470
Museums & Arts,Museums Education,Employee Costs,8570
Museums & Arts,Museums Education,Employee Costs,42435
Museums & Arts,Museums Education,Transport Related,850
Museums & Arts,Museums Education,Supplies and Services,5480
Museums & Arts,Museums Education,"Grants, Contributions, Other Income ",-47120
Museums & Arts,Collections Management,Employee Costs,16600
Museums & Arts,Collections Management,Employee Costs,110850
Museums & Arts,Collections Management,Transport Related,630
Museums & Arts,Collections Management,Supplies and Services,5030
Museums & Arts,Arts Development,Employee Costs,5400
Museums & Arts,Arts Development,Employee Costs,107320
Museums & Arts,Arts Development,Supplies and Services,290
Museums & Arts,Exhibitions and Events,Transport Related,960
Museums & Arts,Exhibitions and Events,Supplies and Services,7250
Museums & Arts,Clay House Main Hall,Premise Related,6640
Markets,Administration & General Holding A/C,Employee Costs,47950
Markets,Administration & General Holding A/C,Employee Costs,417470
Markets,Administration & General Holding A/C,Premise Related,13810
Markets,Administration & General Holding A/C,Transport Related,3480
Markets,Administration & General Holding A/C,Supplies and Services,8620
Markets,Administration & General Holding A/C,Support Service Recharges Expenditure,322020
Markets,Administration & General Holding A/C,Depreciation Charges and Revenue contribution to Capital,14610
Markets,Administration & General Holding A/C,"Grants, Contributions, Other Income ",-2790
Markets,Borough Market Hall-Halifax,Premise Related,72940
Markets,Borough Market Hall-Halifax,Premise Related,25860
Markets,Borough Market Hall-Halifax,Supplies and Services,34460
Markets,Borough Market Hall-Halifax,Depreciation Charges and Revenue contribution to Capital,61810
Markets,Borough Market Hall-Halifax,"Grants, Contributions, Other Income ",-635700
Markets,Market Hall-Todmorden,Premise Related,41770
Markets,Market Hall-Todmorden,Premise Related,8050
Markets,Market Hall-Todmorden,Supplies and Services,2210
Markets,Market Hall-Todmorden,Depreciation Charges and Revenue contribution to Capital,39950
Markets,Market Hall-Todmorden,"Grants, Contributions, Other Income ",-121390
Markets,Open Market-Todmorden,Premise Related,8000
Markets,Open Market-Todmorden,Premise Related,3670
Markets,Open Market-Todmorden,Transport Related,50
Markets,Open Market-Todmorden,Supplies and Services,60
Markets,Open Market-Todmorden,"Grants, Contributions, Other Income ",-129480
Markets,Open Market-Sowerby Bridge,Premise Related,20910
Markets,Open Market-Sowerby Bridge,Transport Related,20
Markets,Open Market-Sowerby Bridge,Supplies and Services,1220
Markets,Open Market-Sowerby Bridge,"Grants, Contributions, Other Income ",-32720
Markets,Open Market-Elland,Premise Related,2920
Markets,Open Market-Elland,Transport Related,20
Markets,Open Market-Elland,Supplies and Services,10
Markets,Open Market-Elland,"Grants, Contributions, Other Income ",-1850
Markets,Open Market-Hebden Bridge,Employee Costs,10760
Markets,Open Market-Hebden Bridge,Premise Related,10220
Markets,Open Market-Hebden Bridge,Premise Related,2530
Markets,Open Market-Hebden Bridge,Transport Related,270
Markets,Open Market-Hebden Bridge,Supplies and Services,100
Markets,Open Market-Hebden Bridge,"Grants, Contributions, Other Income ",-44010
Markets,Open Market - Brighouse,Premise Related,1000
Markets,Town Shops & Properties-Halifax,Supplies and Services,570
Markets,Town Shops & Properties-Halifax,"Grants, Contributions, Other Income ",-1570
Markets,Housing Properties At Borough Market,"Grants, Contributions, Other Income ",-4720
Markets,Halifax Car Boot Sale,Employee Costs,320
Markets,Halifax Car Boot Sale,Employee Costs,2260
Markets,Halifax Car Boot Sale,Premise Related,16130
Markets,Halifax Car Boot Sale,Transport Related,70
Markets,Halifax Car Boot Sale,Supplies and Services,12780
Markets,Halifax Car Boot Sale,"Grants, Contributions, Other Income ",-62700
Markets,Brighouse Car Boot Sale,Employee Costs,10
Markets,Brighouse Car Boot Sale,Employee Costs,12000
Markets,Brighouse Car Boot Sale,Supplies and Services,490
Markets,Brighouse Car Boot Sale,"Grants, Contributions, Other Income ",-14080
Economy and Investment,"Assistant Director Economy, Housing & Investment",Employee Costs,-2370
Economy and Investment,"Assistant Director Economy, Housing & Investment",Supplies and Services,500
Economy and Investment,Business & Economy - General,Support Service Recharges Expenditure,63760
Economy and Investment,Delivering the Towns Investment Programme,Employee Costs,50000
Economy and Investment,Delivering the Towns Investment Programme,"Grants, Contributions, Other Income ",-50000
Economy and Investment,Lowfields Development,Premise Related,14200
Economy and Investment,Policy and Voluntary Sector,Employee Costs,30630
Economy and Investment,Policy and Voluntary Sector,Employee Costs,177990
Economy and Investment,Policy and Voluntary Sector,Premise Related,41560
Economy and Investment,Policy and Voluntary Sector,Premise Related,50
Economy and Investment,Policy and Voluntary Sector,Transport Related,390
Economy and Investment,Policy and Voluntary Sector,Supplies and Services,1319763
Economy and Investment,Policy and Voluntary Sector,Support Service Recharges Expenditure,101610
Economy and Investment,Policy and Voluntary Sector,"Grants, Contributions, Other Income ",-411729
Economy and Investment,Holiday Activites and Food Programme,Supplies and Services,832940
Economy and Investment,Holiday Activites and Food Programme,"Grants, Contributions, Other Income ",-832940
Economy and Investment,Tourism Administration,Employee Costs,18320
Economy and Investment,Tourism Administration,Employee Costs,106382
Economy and Investment,Tourism Administration,Transport Related,530
Economy and Investment,Tourism Administration,Supplies and Services,14390
Economy and Investment,Tourism Administration,Large Contract Areas,-12877
Economy and Investment,Tourism Administration,Support Service Recharges Expenditure,33700
Economy and Investment,Halifax TIC,Employee Costs,2990
Economy and Investment,Halifax TIC,Employee Costs,45883
Economy and Investment,Halifax TIC,Premise Related,6540
Economy and Investment,Halifax TIC,Transport Related,170
Economy and Investment,Halifax TIC,Supplies and Services,23260
Economy and Investment,Halifax TIC,Support Service Recharges Expenditure,17930
Economy and Investment,Halifax TIC,"Grants, Contributions, Other Income ",-34360
Economy and Investment,Hebden Bridge TIC,Employee Costs,390
Economy and Investment,Hebden Bridge TIC,Employee Costs,34165
Economy and Investment,Hebden Bridge TIC,Premise Related,22265
Economy and Investment,Hebden Bridge TIC,Premise Related,710
Economy and Investment,Hebden Bridge TIC,Supplies and Services,26390
Economy and Investment,Hebden Bridge TIC,Support Service Recharges Expenditure,34730
Economy and Investment,Hebden Bridge TIC,Depreciation Charges and Revenue contribution to Capital,4740
Economy and Investment,Hebden Bridge TIC,"Grants, Contributions, Other Income ",-41570
Economy and Investment,Corporate Events,Employee Costs,5590
Economy and Investment,Corporate Events,Employee Costs,38280
Economy and Investment,Corporate Events,Transport Related,700
Economy and Investment,Corporate Events,Transport Related,720
Economy and Investment,Corporate Events,Supplies and Services,5290
Economy and Investment,Corporate Events,Support Service Recharges Expenditure,10070
Economy and Investment,Corporate Events,"Grants, Contributions, Other Income ",-10370
Economy and Investment,Business Rates Pool - Inclusive Economy,Employee Costs,14310
Economy and Investment,Business Rates Pool - Inclusive Economy,Supplies and Services,656100
Economy and Investment,Business Rates Pool - Inclusive Economy,"Grants, Contributions, Other Income ",-649810
Economy and Investment,Inclusive Labour (Inspire Programme) - ESF,Employee Costs,128000
Economy and Investment,Inclusive Labour (Inspire Programme) - ESF,"Grants, Contributions, Other Income ",-128000
Economy and Investment,Council Wide Procurement,Employee Costs,22810
Economy and Investment,Council Wide Procurement,Employee Costs,159890
Economy and Investment,Council Wide Procurement,Transport Related,70
Economy and Investment,Council Wide Procurement,Supplies and Services,9060
Economy and Investment,Council Wide Procurement,Support Service Recharges Expenditure,17500
Economy and Investment,Council Wide Procurement,Support Service Recharges Income,-209330
Economy and Investment,Works Better (ESF),Employee Costs,180
Economy and Investment,Works Better (ESF),Employee Costs,1260
Economy and Investment,Works Better (ESF),Support Service Recharges Expenditure,22850
Economy and Investment,Business & Economy Team,Employee Costs,39300
Economy and Investment,Business & Economy Team,Employee Costs,319173
Economy and Investment,Business & Economy Team,Employee Related,110
